# Resource monitor: nav2_amcl (algorithm=amcl)
# timestamp_s  cpu_pct  ram_mb
1.0  9.00  28.6
2.0  8.00  28.6
3.0  8.00  28.6
4.0  8.00  28.7
5.0  7.00  28.7
6.0  9.00  28.7
7.0  7.00  28.7
8.0  9.00  28.8
9.0  8.00  28.8
10.0  9.00  28.8
11.0  8.00  28.8
12.0  9.00  28.9
13.0  8.00  28.9
14.0  9.00  28.9
15.0  8.00  28.9
16.0  9.00  28.9
17.0  9.00  28.9
18.0  8.00  28.9
19.0  9.00  28.9
20.0  8.00  28.9
21.0  9.00  28.9
22.0  8.00  28.9
23.0  10.00  28.9
24.0  8.00  28.9
25.0  8.00  28.9
26.0  9.00  28.9
27.0  9.00  28.9
28.0  9.00  28.9
29.0  8.00  28.9
30.0  9.00  28.9
31.0  9.00  28.9
32.0  8.00  28.9
33.0  9.00  28.9
34.0  8.00  28.9
35.0  9.00  28.9
36.0  8.00  29.0
37.0  9.00  29.0
38.0  9.00  29.0
39.0  9.00  29.0
40.0  9.00  29.0
41.0  8.00  29.0
42.0  8.00  29.0
43.0  9.00  29.0
44.0  9.00  29.0
45.0  9.00  29.0
46.0  8.00  29.0
47.0  9.00  29.0
48.0  9.00  29.0
49.0  9.00  29.0
50.0  8.00  29.0
51.0  8.00  29.0
52.0  9.00  29.0
53.0  9.00  29.0
54.0  9.00  29.0
55.0  8.00  29.0
56.0  8.00  29.0
57.0  10.00  29.0
58.0  8.00  29.0
59.0  9.00  29.0
60.0  9.00  29.0
61.0  8.00  29.0
62.0  9.00  29.0
63.0  9.00  29.0
64.0  9.00  29.0
65.0  9.00  29.0
66.0  8.00  29.0
67.0  9.00  29.0
68.0  9.00  29.0
69.0  9.00  29.0
70.0  9.00  29.0
71.0  8.00  29.0
72.0  9.00  29.0
73.0  8.00  29.0
74.0  9.00  29.0
75.0  9.00  29.0
76.0  9.00  29.0
77.0  8.00  29.0
78.0  10.00  29.0
79.0  8.00  29.0
80.0  9.00  29.0
81.0  9.00  29.0
82.0  8.00  29.0
83.0  8.00  29.0
84.0  9.00  29.0
85.0  9.00  29.0
86.0  8.00  29.0
87.0  10.00  29.0
88.0  8.00  29.0
89.0  8.00  29.0
90.0  9.00  29.0
91.0  9.00  29.0
92.0  9.00  29.0
93.0  8.00  29.0
94.0  9.00  29.0
95.0  10.00  29.0
96.0  9.00  29.1
97.0  8.00  29.1
98.0  9.00  29.1
99.0  8.00  29.1
100.0  9.00  29.1
101.0  8.00  29.1
102.0  9.00  29.1
103.0  9.00  29.1
104.0  9.00  29.1
105.0  8.00  29.1
106.0  9.00  29.1
107.0  9.00  29.1
108.0  9.00  29.1
109.0  9.00  29.1
110.0  8.00  29.1
111.0  9.00  29.1
112.0  9.00  29.1
113.0  8.00  29.1
114.0  9.00  29.1
115.0  9.00  29.1
116.0  9.00  29.1
117.0  8.00  29.1
118.0  9.00  29.1
119.0  9.00  29.1
120.0  9.00  29.1
121.0  9.00  29.1
122.0  9.00  29.1
123.0  8.00  29.1
124.0  10.00  29.1
125.0  7.00  29.1
126.0  10.00  29.1
127.0  9.00  29.1
128.0  8.00  29.1
129.0  9.00  29.1
130.0  9.00  29.1
131.0  9.00  29.1
132.0  8.00  29.1
133.0  9.00  29.1
134.0  8.00  29.1
135.0  9.00  29.1
136.0  9.00  29.1
137.0  8.00  29.1
138.0  10.00  29.1
139.0  8.00  29.1
140.0  9.00  29.1
141.0  8.00  29.1
142.0  9.00  29.1
143.0  9.00  29.1
144.0  9.00  29.1
145.0  9.00  29.1
146.0  8.00  29.1
147.0  9.00  29.1
148.0  9.00  29.1
149.0  8.00  29.1
150.0  9.00  29.1
151.0  9.00  29.1
152.0  8.00  29.2
153.0  9.00  29.2
154.0  9.00  29.2
155.0  9.00  29.2
156.0  8.00  29.2
157.0  9.00  29.2
158.0  9.00  29.2
159.0  9.00  29.2
160.0  8.00  29.2
161.0  9.00  29.2
162.0  9.00  29.2
163.0  8.00  29.2
164.0  9.00  29.2
165.0  9.00  29.2
166.0  8.00  29.2
167.0  9.00  29.2
168.0  9.00  29.2
169.0  9.00  29.2
170.0  8.00  29.2
171.0  10.00  29.2
172.0  8.00  29.2
173.0  9.00  29.2
174.0  8.00  29.2
175.0  9.00  29.2
176.0  9.00  29.2
177.0  8.00  29.2
178.0  9.00  29.2
179.0  8.00  29.2
180.0  10.00  29.2
181.0  9.00  29.2
182.0  9.00  29.2
183.0  8.00  29.2
184.0  9.00  29.2
185.0  8.00  29.2
186.0  9.00  29.2
187.0  8.00  29.2
188.0  10.00  29.2
189.0  8.00  29.2
190.0  8.00  29.2
191.0  10.00  29.2
192.0  8.00  29.2
193.0  8.00  29.2
194.0  9.00  29.2
195.0  9.00  29.2
196.0  9.00  29.2
197.0  9.00  29.2
198.0  9.00  29.2
199.0  9.00  29.2
200.1  9.00  29.2
201.1  7.00  29.2
202.1  9.00  29.2
203.1  9.00  29.2
204.1  9.00  29.2
205.1  9.00  29.2
206.1  9.00  29.2
207.1  8.00  29.2
208.1  9.00  29.2
209.1  9.00  29.3
210.1  8.00  29.3
211.1  9.00  29.3
212.1  9.00  29.3
213.1  8.00  29.3
214.1  10.00  29.3
215.1  8.00  29.3
216.1  9.00  29.3
217.1  8.00  29.3
218.1  8.00  29.3
219.1  10.00  29.3
220.1  9.00  29.3
221.1  8.00  29.3
222.1  9.00  29.3
223.1  8.00  29.3
224.1  9.00  29.3
225.1  9.00  29.3
226.1  8.00  29.3
227.1  9.00  29.3
